ФИО | Дата рождения | Номер водительского | Дата получения прав | Гос.номер | Прописка | Марка машины | Год выпуска | Нарушение | Штраф
Капп Петр Никифорович | 20.8.1994 | 670436 | 6.9.2012 | Б634ДЯ | Астарахань, Улица Джона Рида, 81 | Lada | 2002 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Капустин Ираклий Гаврилевич | 27.12.1976 | 265374 | 22.4.2000 | Я251ИЮ | Астарахань, Улица Николая Островского, 39 | Bugatti | 2013 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Никулаичев Юрий Евстафиевич | 27.9.1968 | 977045 | 17.2.2001 | М938ХП | Астарахань, Улица Джона Рида, 33 | Audi | 2018 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Лунин Виктор Геннадиевич | 8.4.1975 | 973914 | 27.12.2017 | К440ТУ | Астарахань, Улица Моздокская, 78 | Audi | 2009 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Грызунов Фадей Владимирович | 1.10.1993 | 553754 | 21.4.2017 | Х895ЦХ | Астарахань, Улица Джона Рида, 76 | BMW | 2003 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Ярилов Мечислав Олегович | 13.3.1976 | 404776 | 7.12.2017 | К781ЯО | Астарахань, Улица Моздокская, 71 | Bugatti | 2006 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Пересторонин Радион Фролович | 21.4.1965 | 944247 | 18.11.2016 | Э112ВР | Астарахань, Улица Николая Островского, 80 | Bugatti | 2004 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Трапезников Артур Изяславович | 22.6.1961 | 802044 | 25.11.2002 | Т317ЮЯ | Астарахань, Улица Красная набережная, 81 | BMW | 2006 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Матизов Антип Леонтиевич | 2.2.1991 | 879350 | 26.9.2003 | К506КЦ | Астарахань, Улица Николая Островского, 46 | BMW | 2003 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Костюк Всеволод Кондратиевич | 3.10.1975 | 651391 | 8.12.2007 | Я464ЙТ | Астарахань, Улица Адмиралтейская, 23 | Lada | 2001 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Парфёнов Сигизмунд Иванович | 15.1.1962 | 975443 | 21.3.2018 | Ц579ВБ | Астарахань, Улица Яблочкова, 28 | Lada | 2005 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Цветаев Феоктист Мирославович | 24.6.1974 | 365533 | 23.11.2011 | У751УИ | Астарахань, Улица Николая Островского, 29 | Audi | 2009 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Яйцов Вячеслав Ульянович | 3.5.1977 | 806146 | 5.7.2012 | У856МЦ | Астарахань, Улица Яблочкова, 86 | Bugatti | 2002 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Рунов Кир Ильевич | 28.11.1969 | 780437 | 22.1.2000 | М264РМ | Астарахань, Улица Джона Рида, 82 | Bugatti | 2004 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Сигачёв Сидор Тимурович | 29.6.1970 | 866341 | 26.6.2002 | Х317БФ | Астарахань, Улица Яблочкова, 16 | Audi | 2003 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
Карачёв Степан Панкратиевич | 15.9.1966 | 131371 | 10.9.2001 | О260ЮД | Астарахань, Улица Джона Рида, 17 | Bugatti | 2010 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Ивашов Матвей Давыдович | 14.9.1996 | 782080 | 13.2.2008 | Й438ТФ | Астарахань, Улица Моздокская, 15 | Audi | 2002 | Управление ТС в состоянии алкогольного опьянения | 30000 рублей (тридцать тысяч)
Щетинин Аскольд Остапович | 10.4.1967 | 799048 | 22.3.2017 | У158АЯ | Астарахань, Улица Джона Рида, 62 | Lada | 2008 | Водитель и(или) его пассажиры не были пристегнуты | 1000 рублей (тысяча)
